Today is 3-21-2017,,
B2B Total Completed,1,
B2C Total Completed,0,

B2B Total Attempted,1,

B2B Total Returned,2,
B2C Total Returned,0,

B2B Total In Progress for last 36 hours,13,
B2C Total In Progress for last 36 hours,0,

B2B Total Pending for last 12 hours,19,
B2C Total Pending for last 12 hours,0,

