The following Report is calculated based on this timeline:
 From Apr 1 1:00:00 AM to Apr 2 12:59:00 AM

B2B Total Dispatched, 53
B2B Total Completed, 23
B2B Total Attempted, 22
B2B Total Returned, 8
B2B Total Attempted Percentage, 41.51
B2B Total Completed Percentage, 43.4

B2B Total In Progress for last 3 days, 15
B2B Total Pending for last 12 hours, 2



B2C Total Dispatched, 4
B2C Total Completed, 4
B2C Total Attempted, 0
B2C Total Returned, 0
B2C Total Attempted Percentage, 0
B2C Total Completed Percentage, 100

B2C Total In Progress for last 3 days, 0
B2C Total Pending for last 12 hours, 0



